综合练习题
（一）、单项或多项选择题（单项选择只有一个选项是正确的，多项选择不只有一个正确选项）

1、单选 搜索引擎营销中，营销是？
下列选项中，属于常见百度网盟广告账户搭建策略的是（）。
选择一项或多项：
a. 按照产品搭建账户
b. 按照网站搭建账户
c. 按照推广物料搭建账户
d. 按照推广地域搭建账户
正确答案是：按照产品搭建账户, 按照网站搭建账户, 按照推广物料搭建账户, 按照推广地域搭建账户

试题 2
关键词选择中用户可以分为 (　)
选择一项：
a. 旧用户
b. 新用户
c. 潜在用户
d. 目标用户
正确答案是：潜在用户

试题 3
要想提高网盟广告的转化率，推广人员应当尽量提高广告的点击率。
选择一项：
对
错
正确答案是“错”。

试题 4
信息流广告和移动DSP广告是百度近几年推出的移动广告。
选择一项：
对
错
正确答案是“对”。

试题 5
选择关键词的目的是 (　)
选择一项：
a. 获得点击
b. 销售
c. 获取与用户对话机会
d. 推广
正确答案是：获取与用户对话机会

试题 6
对于企业来说SEM方案内容不包括(　)
选择一项：
a. 出价
b. 关键词
c. 点击
d. 创意
正确答案是：点击

试题 7
关键词选择的策略可以分为4步，分别为寻找核心关键词、拓展关键词、筛选关键词、（）。
正确答案是：关键词分类

试题 8
对于企业常用的定向投放方式，推广人员可设置为定向包，方便下次设置广告投放方式的时候直接调用定向包即可。
选择一项：
对
错
正确答案是“对”。

试题 9
网盟广告的转化率对于网盟账户的优化并没有太大的关系，所以转化率并不属于账户优化内容。
选择一项：
对
错
正确答案是“错”。

试题 10
搜索引擎竞价推广也叫竞价广告。
选择一项：
对
错
正确答案是“对”。

试题 1
离线宝目前提供的主要功能有400增值、（）、网页回呼。
正确答案是：媒体追踪

试题 2
30 、下列选项中，属于常见展示类移动广告的是（）。
选择一项或多项：
a. 图片广告
b. 文字广告
c. 开屏广告
d. 信息流广告
正确答案是：图片广告, 文字广告, 开屏广告

试题 3
下列选项中，属于商盾所拥有的屏蔽无效点击访客的方法的是（）。
选择一项或多项：
a. 无效点击过滤报告
b. 系统自动过滤系统
c. 策略展现屏蔽
d. 手动展现屏蔽
正确答案是：手动展现屏蔽, 策略展现屏蔽, 无效点击过滤报告

试题 4
网盟广告的展现量越高，说明推广信息对于用户的吸引力越大。
选择一项：
对
错
正确答案是“错”。

试题 5
百度推广账户登录后台的网址为（）。
正确答案是：www2.baidu.com

试题 6
通过对搜索引擎竞价推广账号的优化，能够快速使企业广告信息在搜::判断题::索引擎结果中取得较高的推广排名。
选择一项：
对
错
正确答案是“对”。

试题 7
如果短期内的推广，可以采用竞价推广方式。
选择一项：
对
错
正确答案是“对”。

试题 8
企业广告排名的位置主要由企业主设置的每次点击广告价格及账户的权重或质量度决定。
选择一项：
对
错
正确答案是“对”。

试题 9
搜索引擎竞价推广是将企业的产品或服务等以关键词的形式在搜索引擎平台上推广的一种按效果付费的新型搜索引擎广告。
选择一项：
对
错
正确答案是“对”。

试题 10
通过网站选择工具，企业可以全面了解网盟系统丰富的媒体投放资源，并快速进行推广预览，真实感受推广效果。
选择一项：
对
错
正确答案是“错”。

试题 1
最低展现价格是指为使该关键词在线展现，需要设定的最低出价。
选择一项：
对
错
正确答案是“对”。

试题 2
腾讯社交广告账号注册后还需要进行审核，一般24小时内就会审核通过。
选择一项：
对
错
正确答案是“错”。

试题 3
推广人员通过数据报告可以直接查看账户的数据概览、数据实时看、基础报告、纬度分析报告等。
选择一项：
对
错
正确答案是“对”。

试题 4
移动广告主要以移动互联网为载体，通过图片、链接、文字等各种形式，将产品或服务信息向移动端受众开展营销活动
选择一项：
对
错
正确答案是“对”。

试题 5
物料搜集阶段最重要的工作就是搜集关键词和制作广告创意。
选择一项：
对
错
正确答案是“错”。

试题 6
轮播图广告、条幅广告常常以CPC模式计费。
选择一项：
对
错
正确答案是“错”。

试题 7
下列选项中，属于移动广告所具有的特点的是（）。
选择一项或多项：
a. 扩散性
b. 精准性
c. 广泛性
d. 即时性
正确答案是：即时性, 扩散性, 精准性

试题 8
一条完整的创意包括（）、两行描述、访问URL、显示URL等几部分组成。 

正确答案是：一个标题

试题 9
对于普通多业务的企业来说，可以按照企业的产品、服务、推广预算以及推广地域等维度创建推广计划。
选择一项：
对
错
正确答案是“对”。

试题 10
下列选项中，属于综合网络广告联盟的是（）。
选择一项或多项：
a. 阿里妈妈
b. 盘石网盟
c. 百度网盟
d. 唯一传媒
正确答案是：阿里妈妈, 盘石网盟

试题 1
截止到2017年6月，中国的移动互联网用户数量已经突破了7亿。
选择一项：
对
错
正确答案是“对”。

试题 2
一个完整的竞价推广流程可以分为三个阶段，即物料准备阶段、账户搭建阶段和（）。
正确答案是：账户推广阶段

试题 3
网盟广告创意的展现形式多种多样，包括文字、图片、动画等多种形式。
选择一项：
对
错
正确答案是“对”。

试题 4
对于重复申请开通腾讯社交广告账户的企业来说，需要发送邮件说明重复开户的原因。
选择一项：
对
错
正确答案是“对”。

试题 5
百度信息流广告通过大数据技术，对百度用户的人群属性、搜索意图、行为数据进行挖掘分析，从而为企业提供更加精准的、多维度的定向方式。
选择一项：
对
错
正确答案是“对”。

试题 6
把企业的目标群体吸引到企业网站，接收企业的广告信息，这个阶段称为“引流”。
选择一项：
对
错
正确答案是“对”。

试题 7
在竞价推广流程中，物料准备阶段的主要工作内容包括关键词搜集、创意制作和（）。
正确答案是：URL准备

试题 8
网盟广告最大好处是凭借其精准的定向技术，可以帮助企业快速锁定目标群体，提高广告投放效果。
选择一项：
对
错
正确答案是“对”。

试题 9
竞价广告推广结果的展现位置主要有（ ）。
选择一项或多项：
a. 右侧推广链接
b. 左侧推广链接
c. 左侧推广位
d. 下册推广链接
正确答案是：左侧推广位, 左侧推广链接, 右侧推广链接, 下册推广链接

试题 10
百度移动DSP广告后台其实就是百度推广账户下的百度百意。
选择一项：
对
错
正确答案是“对”。

试题 1
百度图片凤巢属于高级创意展现样式，主要由（）、描述、图片、URL。
正确答案是：标题

试题 2
如果长期推广，应以SEO为主，毕竟提高自身网站的竞争力才是企业对外营销推广的根本。
选择一项：
对
错
正确答案是“对”。

试题 3
通过竞争对手分析，企业可以知道谁是自己的竞争对手。
选择一项：
对
错
正确答案是“对”。

试题 4
腾讯社交广告账户的广告层级可以设置投放周期、投放时间、出价、推广地域等推广条件信息。
选择一项：
对
错
正确答案是“对”。

试题 5
企业推广网站没有备案也可以开通腾讯社交广告。
选择一项：
对
错
正确答案是“错”。

试题 6
在实际推广过程中，网盟账户的结构采用的多是多种方式相互结合来搭建账户。
选择一项：
对
错
正确答案是“对”。

试题 7
搜索引擎竞价推广也叫搜索引擎广告。
选择一项：
对
错
正确答案是“对”。

试题 8
竞价推广搜索结果中带有“广告”字样。
选择一项：
对
错
正确答案是“对”。

试题 9
账户推广阶段最重要的工作就是解读和分析账户的数据报告。
选择一项：
对
错
正确答案是“对”。

试题 10
电子商务广告联盟主要以CPS（按销售额付费）计价为主。
选择一项：
对
错
正确答案是“对”。

试题 1
通过网盟后台的账户报告，可以账户各个推广计划、推广组及创意的推广效果。
选择一项：
对
错
正确答案是“对”。

试题 2
一个百度推广账户最多可以创建1000个推广计划。
选择一项：
对
错
正确答案是“错”。

试题 3
数据报告工具和账户底部推广报告功能一样，都可以直接跳转到账户数据页面。
选择一项：
对
错
正确答案是“对”。

试题 4
对于文字广告信息，网民更喜欢网盟广告中图片广告创意。
选择一项：
对
错
正确答案是“对”。

试题 5
网盟账户中的推广计划和推广竞价账户里的推广计划功能相同。
选择一项：
对
错
正确答案是“错”。

试题 6
核心关键词无法展现在左侧的原因是有可能(　)
选择一项：
a. 质量度过高
b. 质量度太低
c. 出价过高
d. 出价过低
正确答案是：出价过低

试题 7
（）是百度推出的一款大数据商业决策工具。
正确答案是：百度司南

试题 8
左侧推广位最多展示广告条数不同的搜索引擎不一样。
选择一项：
对
错
正确答案是“对”。

试题 9
关键词排名由质量度和出价共同决定。
选择一项：
对
错
正确答案是“对”。

试题 10
下列选项中，属于网盟广告创意展现形式的有（）。
选择一项或多项：
a. 悬浮形式
b. 贴片形式
c. banner广告
d. 固定形式
正确答案是：悬浮形式, 固定形式, 贴片形式

试题 1
SEO除了支付网站空间、域名、服务器及SEO工作人员工资等常规性开支外，几乎没有其他费用的投入，成本非常低。
选择一项：
对
错
正确答案是“对”。

试题 2
商盾屏蔽无效访客点击的方法主要有手动展现屏蔽、（）、无效点击过滤报告。
正确答案是：策略展现屏蔽

试题 3
除了常见的按照产品、服务、推广预算及推广地域划分账户外，还可以按照企业推广目标划分账户。
选择一项：
对
错
正确答案是“对”。

试题 4
在排名一定的情况下，质量度越高，企业为搜索推广结果支付的单次点击价格就越低。
选择一项：
对
错
正确答案是“对”。

试题 5
对于单一业务企业来说，可以按照推广关键词类型划分账户，围绕企业推广关键词划分推广计划。
选择一项：
对
错
正确答案是“错”。

试题 6
推广计划作为账户的子集，每个推广计划可包含很多（）。

正确答案是：推广单元

试题 7
下列选项中，属于百度信息流广告常见的展现形式的有（）。
选择一项或多项：
a. 单图形式
b. 大图形式
c. 悬浮模式
d. 视频形式
正确答案是：大图形式, 单图形式, 视频形式

试题 8
搜索引擎竞价推广简称竞价推广。
选择一项：
对
错
正确答案是“对”。

试题 9
最低展现价格由关键词的质量度决定。
选择一项：
对
错
正确答案是“对”。

试题 10
企业推广账户的关键词质量度为0分或1分，那么企业推广的信息可能无法展现，或展现概率较低。
选择一项：
对
错
正确答案是“对”。

试题 1
大数据人才整体上需要具备（）等核心知识。
选择一项或多项：
a. 数学与统计知识
b. 计算机相关知识
c. 在特定业务领域的知识
d. 马克思主义哲学知识
正确答案是：计算机相关知识, 数学与统计知识, 在特定业务领域的知识

试题 2
账户其他设置主要包括账户预算设置、投放地域设置和（）。 

正确答案是：投放时段设置

试题 3
企业首次开通搜狗账户缴纳的费用和360搜索推广账户缴纳的费用相同。
选择一项：
对
错
正确答案是“错”。

试题 4
竞价广告创意撰写的基本技巧主要包括（）、相关、通顺。
正确答案是：飘红

试题 5
SEO自然搜索展现结果智能出现在页面左侧，搜索结果没有“广告”字样。
选择一项：
对
错
正确答案是“对”。

试题 6
右侧推广链接是指搜索结果首页及翻页后的页面右侧推广链接位置。
选择一项：
对
错
正确答案是“对”。

试题 7
360搜素推广账户后台登录的网址为（）。
正确答案是：e.360.cn

试题 8
每日预算是账户每日的消费限额，当该推广计划到达这限额时，并不会自动下线。只有当投放时间结束后才会下线。
选择一项：
对
错
正确答案是“错”。

试题 9
百度商桥除了在线聊天之外，还提供留言服务，客服下班后，访客通过留言板给客服留言。
选择一项：
对
错
正确答案是“对”。

试题 10
通配符在创意中表现为（），当创意中插入通配符后，将以触发的关键词替代通配符标志。
正确答案是：大括号

试题 1
短语匹配有三种方式，分别为短语-精确包含、短语-同义包含（）。
正确答案是：短语-核心包含

试题 2
核心关键词不包括(　)
选择一项：
a. 活动词
b. 地域词
c. 品牌词
d. 产品词
正确答案是：地域词

试题 3
下列选项中，属于常见的移动广告类别的是（）。
选择一项或多项：
a. 报纸广告
b. 积分墙
c. 移动竞价广告
d. 信息流广告
正确答案是：移动竞价广告, 积分墙, 信息流广告

试题 4
悬浮形式的网盟广高就是广告显示在网页中某个固定的位置，无论网民上下滚动还是左右拖拽广告所在位置固定不变。
选择一项：
对
错
正确答案是“错”。

试题 5
手机APP开屏广告、插屏广告经常使用CPC模式计费。
选择一项：
对
错
正确答案是“对”。

试题 6
搜狗搜索推广账户后台登录的网址为（）。
正确答案是：fuwu.sougou.com

试题 7
通过竞争对手分析，企业可以知道谁是自己的竞争对手。
选择一项：
对
错
正确答案是“对”。

试题 8
在同样的设置条件下，优先以账户低层级的设置为准。
选择一项：
对
错
正确答案是“错”。

试题 9
策略展现屏蔽添加方法和手动添加方法并不相同。
选择一项：
对
错
正确答案是“错”。

试题 10
竞价广告推广结果的展现位置主要有（ ）。
选择一项或多项：
a. 左侧推广位
b. 下册推广链接
c. 右侧推广链接
d. 左侧推广链接
正确答案是：左侧推广位, 左侧推广链接, 右侧推广链接, 下册推广链接



单元测验5

试题 1
物料审核与生效处于哪个阶段（）
选择一项：
a. 后期阶段
b. 稳定期管理阶段
c. 初期管理阶段
d. 测试期管理阶段
正确答案是：初期管理阶段

试题 2
下列关于大数据的说法中，错误的是(　)
选择一项或多项：
a. 大数据的应用注重因果分析而不是相关分析
b. 大数据的应用注重相关分析而不是因果分析
c. 处理大数据需采用新型计算架构和智能算法等新技术
d. 大数据具有体量大、结构单一、时效性强的特征
正确答案是：大数据具有体量大、结构单一、时效性强的特征, 大数据的应用注重因果分析而不是相关分析

试题 3
物料审核没有被通过，系统显示（）
选择一项：
a. 不能推广
b. 未通过
c. 不宜推广
d. 不通过
正确答案是：不宜推广

试题 4
账户优化的基本思路可以分为优化前准备、检查账户、（）、执行解决方案。
正确答案是：找出优化重点

试题 5
比重分析法是指对账户数据的前N项进行统计汇总，与其余各项进行对比，从而找到最主要数据所占的比例和效果。
选择一项：
对
错
正确答案是“错”。

试题 6
点击率与质量度的管控处于哪个阶段（）
选择一项：
a. 初期管理阶段
b. 稳定期管理阶段
c. 测试期管理阶段
d. 后期阶段
正确答案是：测试期管理阶段

试题 7
在优化账户之前，推广人员的首要工作是检查账户的基本结构是否设置合理。
选择一项：
对
错
正确答案是“对”。

试题 8
SEM方案实施过程不包括 （）
选择一项：
a. 初期管理阶段
b. 测试期管理阶段
c. 后期阶段
d. 稳定期管理阶段
正确答案是：后期阶段

试题 9
访问转化率就是推广信息被访问的次数和广告咨询量之间的比率。
选择一项：
对
错
正确答案是“错”。

试题 10
根据推广效果转化漏斗，在网站环节最重要的是提高着陆页广告内容和咨询量。
选择一项：
对
错
正确答案是“对”。

试题 1
诊断账户关键词主要从关键词数量、关键词匹配模式、（）三方面进行分析。 

正确答案是：关键词排名

试题 2
账户数据分析的最主要作用就是降低企业的推广成本，或者说降低账户关键词点击价格，提高推广效果。
选择一项：
对
错
正确答案是“对”。

试题 3
域名由两种基本类型组成：以机构性质命名的域名和以（）命名的域名。
正确答案是：国家地区代码

试题 4
当账户中余额不够一次点击时，推广信息（）
选择一项：
a. 不会展现
b. 会展现一部分
c. 会展现
d. 也会展现，直到余额为0为止，且下次充值是会扣除多消费的金额
正确答案是：不会展现

试题 5
关键词再管理处于哪个阶段（）
选择一项：
a. 后期阶段
b. 测试期管理阶段
c. 初期管理阶段
d. 稳定期管理阶段
正确答案是：稳定期管理阶段

试题 6
质量度是影响排名和价格的重要原因，在百度推广过程中通常质量度最好的是（）
选择一项：
a. 2颗星
b. 3颗星
c. 4颗星
d. 1颗星
正确答案是：3颗星

试题 7
账户数据分析只是对企业自己账户推广的数据进行的分析，无法了解和监测竞争对手的推广情况。
选择一项：
对
错
正确答案是“错”。

试题 8
（），又称网域，是由一串用点分隔的名字组成的互联网上某一台计算机或计算机组的名称，用于在数据传输时对计算机的定位标识（有时也指地理位置）。
正确答案是：域名

试题 9
一台服务器一个IP地址可以有（）域名。
正确答案是：多个

试题 10
SEM方案实施第一个环节是（）
选择一项：
a. 调整
b. 上线
c. 优化
d. 测试
正确答案是：上线

试题 1
DNS（（） System，有时也简称为域名系统）是因特网的一项核心服务。
正确答案是：Domain Name

试题 2
在推广时段管理中不能实现以下哪项推广需求（）
选择一项：
a. 每月最后一周不进行推广
b. 周六周日全天不进行推广
c. 每周一到周五进行推广
d. 每周一至周三10点上线，周四至周日9点上线
正确答案是：每月最后一周不进行推广

试题 3
下列选项中，属于账户常见问题的是（）。
选择一项或多项：
a. 展现量低，点击量高
b. 访问量高，咨询量低
c. 点击量高，访问量低
d. 展现量高，点击量低
正确答案是：展现量低，点击量高, 展现量高，点击量低, 点击量高，访问量低, 访问量高，咨询量低

试题 4
SEM方案上线工具包括 （）
选择一项：
a. SEM助手
b. 百度推广助手
c. 网页API
d. 百度端
正确答案是：SEM助手

试题 5
根据推广效果转化漏斗，推广账户在每个层级对应的数据分别为展现量、（）、访问量 、咨询量、订单量。

正确答案是：点击量

试题 6
（）（即Domain Name Server，DNS）实际上就是装有域名系统的主机。它是一种分层结构数据库，能够执行域名解析。
正确答案是：域名服务器

试题 7
域名地址的信息存放在一个叫（）（Domain name server）的主机内。
正确答案是：域名服务器

试题 8
通常来说，企业推广的营销目标可以分为品牌导向型和（）。

正确答案是：效果导向型

试题 9
通过推广效果转化漏斗可以将搜索营销分为三个环节，分别为搜索引擎环节、网站环节、（）。 

正确答案是：转化环节

试题 10
一个域名的“所有者”可以通过查询（）数据库而被找到。
正确答案是：whois

试题 1
访问转化率是推广信息被访问的次数与广告点击量之间的比率。其公式为访问转化率=（）。
正确答案是：访问量÷点击量

试题 2
一般来说（）注册用户为公司或企业，.edu为学校单位。
正确答案是：.com

试题 3
IP地址和（）是一一对应的。
正确答案是：域名

试题 4
一般来说.edu为学校单位，（）为政府机构。
正确答案是：.gov

试题 5
对于高访问量，低咨询量问题而言，推广人员在优化账户时应重点优化着陆页广告内容。
选择一项：
对
错
正确答案是“对”。

试题 6
适合大型账户（千万级别）的工具是（）
选择一项：
a. SEM助手
b. 百度API
c. 网页端
d. 百度推广助手
正确答案是：百度API

试题 7
点击率是用来衡量广告创意受网民欢迎的程度，其公式为点击率=（）。
正确答案是：点击量÷展现量

试题 8
账户优化的基本思路第三步是（）。
正确答案是：找出优化重点

试题 9
（）（DNS，Domain Name System，有时也简称为域名系统）是因特网的一项核心服务。
正确答案是：网域名称系统

试题 10
域名一般不能超过5级，从（）域的级别变高，高的级域包含低的级域。
正确答案是：左到右

试题 1
根据推广效果转化漏斗，在搜索引擎环节可以得到企业推广结果的展现量、（）。
正确答案是：点击量

试题 2
当前，对于每一级域名长度的限制是（）个字符，域名总长度则不能超过253个字符。
正确答案是：63

试题 3
通用顶级域中.bitnet .csnet .local .onion .uucp是（）域名。
正确答案是：伪

试题 4
推广信息展现量高，点击量低可能是因为关键词和推广创意之间的相关性较低导致。
选择一项：
对
错
正确答案是“对”。

试题 5
URL是Uniform Resource Location的缩写，译为“（）”
正确答案是：统一资源定位符

试题 6
下面哪个不是影响质量度的因素（）
选择一项：
a. 账户表现
b. 创意撰写质量
c. 关键词的出价
d. 关键词的点击率
正确答案是：关键词的出价

试题 7
（）就是提供IP地址和域名之间的转换服务的服务器。
正确答案是：域名服务器

试题 8
一般来说（）为社团法人，.edu为学校单位。
正确答案是：.org

试题 9
关于营销与销售下面说法正确的是（）
选择一项：
a. 营销包含了市场调查、产品策略制定、定价、渠道等
b. 销售包含了营销，比营销的范围更大
c. 销售=经营+营销
d. 销售意味着你根本没有商品的时候去买这个商品
正确答案是：营销包含了市场调查、产品策略制定、定价、渠道等

试题 10
通用顶级域中.aero .cat .coop .jobs .museum .travel .mobi .asia .tel 是（）赞助
正确答案是：有

试题 1
推广人员进行账户分析的最主要目的是为了更加了解用户个体特征和上网行为。
选择一项：
对
错
正确答案是“错”。

试题 2
咨询转化率指网民咨询企业的次数与网民访问网站的次数之间的比率，其公式为咨询转化率=（）。
正确答案是：咨询量÷访问量

试题 3
常用的账户数据分析方法有趋势分析法、比重分析法、top-n分析法、（）。
正确答案是：四象限分析法

试题 4
订单转化率则是网民的订单数量与网民咨询次数之间的比率，其公式为订单转化率=（）。
正确答案是：订单量÷咨询量

试题 5
（）地址能够唯一地标记网络上的计算机。
正确答案是：IP

试题 6
除了检查账户的基本结构之外，还需要对账户推广数据进行重点解读。
选择一项：
对
错
正确答案是“对”。

试题 7
转化率低与网站的访问量低直接相关，因此在优化账户时以提高网站访问量为主。
选择一项：
对
错
正确答案是“错”。

试题 8
下列选项中，关于账户数据分析作用的说法正确的是（）。
选择一项或多项：
a. 降低推广成本，提高推广效果
b. 有效监测竞争对手
c. 更加了解用户个体特征与行为
d. 了解哪种广告最有效
正确答案是：降低推广成本，提高推广效果, 更加了解用户个体特征与行为, 有效监测竞争对手

试题 9
下列选项中，关于检查账户的说法正确的是（）。
选择一项或多项：
a. 检查账户推广数据
b. 账户结构及设置的合理性
c. 整体数据指标趋势表现
d. 账户推广效果
正确答案是：整体数据指标趋势表现, 账户推广效果

试题 10
咨询转化率是指网民咨询企业的次数与推广信息点击量之间的比率。
选择一项：
对
错
正确答案是“错”。

试题 1
账户优化的基本思路第四步是（）。
正确答案是：执行解决方案

试题 2
账户优化的基本思路第一步是（）。
正确答案是：检查账户

试题 3
域名由两种基本类型组成：以（）的域名和以国家地区代码命名的域名。
正确答案是：机构性质命名

试题 4
Domain Name Finder是域名注册服务商的得力工具，只要选择少许关键字，就可以搜索到大量的（）。
正确答案是：未注册域名

试题 5
物料审核通过，在系统中显示（）
选择一项：
a. 通过
b. 有效
c. 适合推广
d. 可推广
正确答案是：有效

试题 6
订单转化率是指网民的订单数量与网民咨询次数之间的比率。
选择一项：
对
错
正确答案是“对”。

试题 7
下列选项中，属于常见的账户分析数据指标的是（）。
选择一项或多项：
a. 订单量
b. 展现量
c. 点击率
d. 访问量
正确答案是：展现量, 点击率, 访问量, 订单量

试题 8
SEM网页端工具是否支持离线操作（）
选择一项：
a. 没有网络时支持
b. 不支持
c. 支持
d. 有网络时支持
正确答案是：不支持

试题 9
当前，对于每一级域名长度的限制是63个字符，域名总长度则不能超过（）个字符。
正确答案是：253

试题 10
通用顶级域中.com .edu .gov .info .int .mil .name .net .org .pro .xyz是（）赞助
正确答案是：无

试题 1
（）（DNA）软件：是由软件设计高手Anil Kumar开发的一个优秀工具，它具有下列功能： 能查到所有顶级域名（包括通用顶级和国家代码顶级域名）注册的域名资料。
正确答案是：域名分析

试题 2
根据推广效果转化漏斗，在转化环节最重要的是提高网站的咨询量。
选择一项：
对
错
正确答案是“对”。

试题 3
在域名中大小写是（）区分的。
正确答案是：没有

试题 4
下列选项中，属于常见的账户数据分析方法的是（）。
选择一项或多项：
a. 比重分析法
b. 四象限分析法
c. 对比分析法
d. 趋势分析法
正确答案是：比重分析法, 四象限分析法, 趋势分析法

试题 5
四象限分析法也叫（），主要以转化效果和消费成本为参考指标，将账户数据划分为四方面，分别为高成本低转化、高成本高转化、低成本低转化、 低成本高转化。
正确答案是：矩阵式分析法

试题 6
下列选项中，属于推广效果转化漏斗三个环节的是（）。
选择一项或多项：
a. 转化环节
b. 咨询环节
c. 网站环节
d. 搜索引擎环节
正确答案是：网站环节, 搜索引擎环节, 转化环节

试题 7
通用顶级域中.aero .cat .coop .jobs .museum .travel .mobi .asia .tel 是（）赞助
正确答案是：有

试题 8
下面哪个不是影响质量度的因素（）
选择一项：
a. 创意撰写质量
b. 关键词的点击率
c. 账户表现
d. 关键词的出价
正确答案是：关键词的出价

试题 9
转化率低与网站的访问量低直接相关，因此在优化账户时以提高网站访问量为主。
选择一项：
对
错
正确答案是“错”。

试题 10
一般来说（）为社团法人，.edu为学校单位。
正确答案是：.org
